distance,placeName,distanceNumber,hotelId
19.2km,Singapore Changi Airport,19190,687474
26.4km,Woodlands Train Checkpoint,26380,687474
320m,Esplanade,320,687474
540m,City Hall,540,687474
580m,Marina Bay,580,687474
136m,Twenty.Six@Purvis,136,687474
153m,Spa by JW,153,687474
153m,Pine Spa,153,687474
170m,Big Bus Singapore,170,687474
171m,DUCK Tours,171,687474
198m,Spa Club At Beach Road,198,687474
208m,Mint Museum of Toys,208,687474
222m,Lalin Gallery,222,687474
224m,Suntec Singapore International Convention and Exhibition Centre,224,687474
243m,Rabbit Owl Depot,243,687474
19.1km,Singapore Changi Airport,19120,992740
26.9km,Woodlands Train Checkpoint,26900,992740
360m,Esplanade,360,992740
580m,City Hall,580,992740
660m,Marina Bay,660,992740
79m,Spa Club At Beach Road,79,992740
114m,Pine Spa,114,992740
130m,Twenty.Six@Purvis,130,992740
191m,Rabbit Owl Depot,191,992740
212m,DrSpa,212,992740
218m,Mint Museum of Toys,218,992740
218m,Unravel,218,992740
246m,GOURMETbus,246,992740
246m,Dream Drive Pte Ltd,246,992740
246m,Cool de Sac Play Centre,246,992740
19.6km,Singapore Changi Airport,19630,687472
26.8km,Woodlands Train Checkpoint,26750,687472
230m,Bras Basah,230,687472
430m,Bencoolen MRT,430,687472
800m,Marina Bay,800,687472
113m,Chan Hampe Galleries,113,687472
113m,Estheva Spa,113,687472
120m,Mint Museum of Toys,120,687472
131m,LifeSpa,131,687472
149m,National Library of Singapore,149,687472
157m,Carlton,157,687472
180m,Rabbit Owl Depot,180,687472
200m,Lalin Gallery,200,687472
208m,Twenty.Six@Purvis,208,687472
208m,Chijmes,208,687472
20.1km,Singapore Changi Airport,20140,905760
22km,Woodlands Train Checkpoint,21990,905760
410m,City Hall,410,905760
630m,Clarke Quay,630,905760
1km,Marina Bay,1050,905760
29m,Capitol Theatre,29,905760
61m,Singapore Free Walks,61,905760
126m,St Andrew's Cathedral,126,905760
135m,Stamford House,135,905760
139m,Ode To Art Contemporary,139,905760
195m,Urban SPA,195,905760
198m,National Heritage Board,198,905760
211m,Armenian Apostolic Church of St. Gregory the Illuminator,211,905760
219m,Hill Street Building,219,905760
231m,Sushi Don,231,905760
20.1km,Singapore Changi Airport,20140,687485
22km,Woodlands Train Checkpoint,21990,687485
420m,City Hall,420,687485
630m,Clarke Quay,630,687485
1.2km,Marina Bay,1210,687485
40m,Capitol Theatre,40,687485
69m,Singapore Free Walks,69,687485
128m,St Andrew's Cathedral,128,687485
139m,Stamford House,139,687485
142m,Ode To Art Contemporary,142,687485
182m,Urban SPA,182,687485
200m,National Heritage Board,200,687485
201m,Armenian Apostolic Church of St. Gregory the Illuminator,201,687485
206m,Hill Street Building,206,687485
218m,Sushi Don,218,687485
19.5km,Singapore Changi Airport,19490,97209990
21.4km,Woodlands Train Checkpoint,21420,97209990
290m,Bras Basah,290,97209990
420m,Bencoolen MRT,420,97209990
770m,Bugis,770,97209990
59m,National Library of Singapore,59,97209990
112m,St Joseph's Church (Victoria Street),112,97209990
128m,National Design Centre,128,97209990
134m,InterContinental Singapore Heritage Trail,134,97209990
140m,Rabbit Owl Depot,140,97209990
174m,Mint Museum of Toys,174,97209990
208m,Unravel,208,97209990
221m,Filmgarde,221,97209990
225m,Pine Spa,225,97209990
226m,Manekineko Bugis+,226,97209990
19.3km,Singapore Changi Airport,19270,995082
28km,Woodlands Train Checkpoint,28050,995082
270m,Esplanade,270,995082
590m,Promenade,590,995082
570m,Marina Bay,570,995082
102m,Kglow Skinlab,102,995082
112m,Millenia Walk Indoor Skiing Course,112,995082
132m,Marina Square,132,995082
159m,NERF Action Xperience,159,995082
177m,Chinese Heritage Museum,177,995082
192m,The Spa at Mandarin Oriental Singapore,192,995082
196m,Pinkfong World Adventure - Singapore,196,995082
224m,Suntec Singapore International Convention and Exhibition Centre,224,995082
230m,Captain Explorer DUKW™ Tour,230,995082
230m,FunVee Open Top Bus,230,995082
20.3km,Singapore Changi Airport,20310,44320758
27.5km,Woodlands Train Checkpoint,27450,44320758
520m,City Hall,520,44320758
520m,Clarke Quay,520,44320758
1.2km,Marina Bay,1160,44320758
121m,Urban SPA,121,44320758
129m,Capitol Theatre,129,44320758
129m,Sushi Don,129,44320758
131m,Singapore Free Walks,131,44320758
148m,Hill Street Building,148,44320758
148m,St Andrew's Cathedral,148,44320758
151m,Hologate Singapore,151,44320758
174m,Central Fire Station,174,44320758
183m,Armenian Apostolic Church of St. Gregory the Illuminator,183,44320758
183m,Civil Defence Heritage Gallery,183,44320758
19.1km,Singapore Changi Airport,19130,932167
27.8km,Woodlands Train Checkpoint,27810,932167
470m,Promenade,470,932167
880m,Esplanade,880,932167
730m,Marina Bay,730,932167
40m,Millenia Walk Indoor Skiing Course,40,932167
40m,Kglow Skinlab,40,932167
110m,Chinese Heritage Museum,110,932167
247m,Marina Square,247,932167
258m,Fountain of Wealth,258,932167
266m,Alive Museum,266,932167
275m,The Spa at Mandarin Oriental Singapore,275,932167
280m,NERF Action Xperience,280,932167
288m,Boat Quay ,288,932167
289m,Pinkfong World Adventure - Singapore,289,932167
20.2km,Singapore Changi Airport,20160,1308129
26.9km,Woodlands Train Checkpoint,26940,1308129
770m,Esplanade,770,1308129
820m,Promenade,820,1308129
660m,Marina Bay,660,1308129
67m,Chinese Heritage Museum,67,1308129
104m,Kglow Skinlab,104,1308129
159m,Millenia Walk Indoor Skiing Course,159,1308129
163m,The Spa at Mandarin Oriental Singapore,163,1308129
179m,Marina Square,179,1308129
184m,Pinkfong World Adventure - Singapore,184,1308129
215m,NERF Action Xperience,215,1308129
246m,"The Ritz-Carlton Spa, Singapore",246,1308129
248m,Youth Olympic Park,248,1308129
275m,Pororo Park Singapore,275,1308129
24km,Singapore Changi Airport,23980,1706908
19.8km,Woodlands Train Checkpoint,19830,1706908
1.2km,Newton,1230,1706908
1.3km,Orchard,1330,1706908
240m,Orchard Road,240,1706908
104m,K+ Curatorial Space,104,1706908
113m,BRIX,113,1706908
132m,Sense De Belle,132,1706908
148m,Serena Spa,148,1706908
150m,Starz Zone,150,1706908
154m,It works,154,1706908
178m,Chocosan foot reflexology,178,1706908
232m,Spa Rael Goodwood Park Hotel,232,1706908
241m,The Epicurean State,241,1706908
244m,Ayuthaya Spa,244,1706908
23.7km,Singapore Changi Airport,23740,8497129
19.2km,Woodlands Train Checkpoint,19180,8497129
620m,Orchard,620,8497129
1.4km,Newton,1390,8497129
570m,Orchard Road,570,8497129
37m,Supreme Q.X. Beauty Spa,37,8497129
37m,Ayuthaya Spa,37,8497129
94m,Footworks Reflexology,94,8497129
97m,Shaw Concessions,97,8497129
108m,Pop And Contemporary Fine Art,108,8497129
112m,Singapore Sidecars,112,8497129
169m,Chocosan foot reflexology,169,8497129
170m,BRIX,170,8497129
179m,Padma Spa,179,8497129
186m,K+ Curatorial Space,186,8497129
23km,Singapore Changi Airport,23040,996342
19.8km,Woodlands Train Checkpoint,19820,996342
1.1km,Newton,1110,996342
1.2km,Orchard,1160,996342
480m,Orchard Road,480,996342
132m,EGT Scooter,132,996342
229m,My Cozy Room Boutique Spa,229,996342
263m,Zhao Wei Films,263,996342
280m,Spa Rael Goodwood Park Hotel,280,996342
378m,SK-II Boutique Spa,378,996342
385m,Sense De Belle,385,996342
428m,Chocosan foot reflexology,428,996342
447m,BRIX,447,996342
459m,Padma Spa,459,996342
479m,Masjid Falah,479,996342
24km,Singapore Changi Airport,24040,909897
19.5km,Woodlands Train Checkpoint,19480,909897
940m,Orchard,940,909897
1.6km,Newton,1630,909897
880m,Orchard Road,880,909897
77m,Swuk Aesthetics & Spa,77,909897
221m,YANG Gallery,221,909897
274m,Pop And Contemporary Fine Art,274,909897
275m,Footworks Reflexology,275,909897
298m,Wellaholic (Clarke Quay Outlet),298,909897
309m,Four Seasons Spa,309,909897
322m,Supreme Q.X. Beauty Spa,322,909897
329m,Ayuthaya Spa,329,909897
334m,The American Club Singapore,334,909897
338m,Shaw Concessions,338,909897
23km,Singapore Changi Airport,23010,6401620
19.8km,Woodlands Train Checkpoint,19790,6401620
640m,Somerset,640,6401620
770m,Orchard,770,6401620
920m,Orchard Road,920,6401620
111m,Emerald Hill,111,6401620
222m,New Creation Church,222,6401620
225m,Masjid Falah,225,6401620
236m,My Cozy Room Boutique Spa,236,6401620
252m,Beauty 21,252,6401620
284m,Orchard Road,284,6401620
292m,Alley Bar,292,6401620
304m,Celestial Sanctuary,304,6401620
332m,Moshi Moshi Bollywood,332,6401620
335m,RN Spa,335,6401620
23.1km,Singapore Changi Airport,23100,84720555
19.9km,Woodlands Train Checkpoint,19890,84720555
510m,Somerset,510,84720555
660m,Orchard,660,84720555
1.3km,Orchard Road,1290,84720555
110m,Beauty 21,110,84720555
111m,Celestial Sanctuary,111,84720555
114m,Observation Lounge,114,84720555
117m,Orchard Road,117,84720555
136m,Bounce Singapore,136,84720555
149m,Masjid Falah,149,84720555
151m,Ganso Manekineko,151,84720555
151m,Amazing Castle,151,84720555
226m,Alley Bar,226,84720555
233m,HUB Singapore,233,84720555
24.1km,Singapore Changi Airport,24130,10930412
18km,Woodlands Train Checkpoint,17950,10930412
950m,Stevens,950,10930412
1.5km,Newton,1510,10930412
1.2km,Orchard Road,1200,10930412
461m,"CHI, The Spa at Shangri-La",461,10930412
520m,Imbiah Battery,520,10930412
671m,The American Club Singapore,671,10930412
682m,SK-II Boutique Spa,682,10930412
742m,Swuk Aesthetics & Spa,742,10930412
762m,Padma Spa,762,10930412
817m,Spaboutique,817,10930412
823m,Zhao Wei Films,823,10930412
841m,Supreme Q.X. Beauty Spa,841,10930412
850m,Chocosan foot reflexology,850,10930412
23.6km,Singapore Changi Airport,23590,47626297
21km,Woodlands Train Checkpoint,20970,47626297
700m,Dhoby Ghaut,700,47626297
720m,Fort Canning MRT,720,47626297
1.9km,Orchard Road,1930,47626297
184m,LaserOPS,184,47626297
187m,Orchard Road Presbyterian Church,187,47626297
210m,Freeing SG,210,47626297
215m,The Luxe Art Museum,215,47626297
250m,Battlebox Museum Singapore,250,47626297
251m,Fort Canning Sculpture Trail,251,47626297
256m,Wesley Methodist Church,256,47626297
257m,Former House of Tan Yeok Nee,257,47626297
268m,Singapore Dance Theatre,268,47626297
276m,Chinois Spa,276,47626297
22.3km,Singapore Changi Airport,22290,996054
21.6km,Woodlands Train Checkpoint,21600,996054
1.1km,Fort Canning MRT,1130,996054
1.2km,Chinatown,1200,996054
220m,Singapore River,220,996054
440m,Robertson Quay,440,996054
181m,Theatreworks,181,996054
238m,Alkaff Bridge,238,996054
243m,Robertson Quay,243,996054
338m,Waka Waka,338,996054
343m,Amped Trampoline Park,343,996054
457m,Culinaryon,457,996054
464m,Kim Seng Park,464,996054
483m,Aegle TCM Clinique,483,996054
490m,Singapore Repertory Theatre,490,996054
496m,Singapore Hong San See,496,996054
19.5km,Singapore Changi Airport,19550,8695392
25km,Woodlands Train Checkpoint,24970,8695392
620m,Jalan Besar MRT,620,8695392
690m,Lavender,690,8695392
350m,Lavender,350,8695392
206m,Putian Tiandao Church,206,8695392
222m,Soon Kee Boneless Lor Duck Rice,222,8695392
250m,Malabar Mosque,250,8695392
259m,Sushi Bee,259,8695392
270m,Jalan Besar Stadium,270,8695392
292m,Jalan Besar Swimming Complex,292,8695392
358m,Wellaholic (Lavender Outlet),358,8695392
451m,Post-Museum,451,8695392
454m,MAM Holidays Singapore,454,8695392
460m,Green Apple Spa,460,8695392
18.9km,Singapore Changi Airport,18930,998518
25.9km,Woodlands Train Checkpoint,25930,998518
600m,Bugis,600,998518
640m,Lavender,640,998518
840m,Bugis,840,998518
56m,Alsagoff Arab School,56,998518
74m,MAM Holidays Singapore,74,998518
123m,Xi Yuan Foot Spa,123,998518
144m,Green Apple Spa,144,998518
149m,Sultan's Gate,149,998518
157m,Malay Heritage Centre,157,998518
166m,Malabar Mosque,166,998518
220m,The Gem Museum,220,998518
252m,Trapped,252,998518
256m,Children Little Museum,256,998518
15.6km,Singapore Changi Airport,15650,996327
18.3km,Woodlands Train Checkpoint,18260,996327
100m,Lavender,100,996327
630m,Bendemeer MRT,630,996327
340m,Lavender,340,996327
185m,Sushi Bee,185,996327
187m,Wellaholic (Lavender Outlet),187,996327
202m,Sri Manmatha Karuneshvarar Temple,202,996327
206m,Boulder+,206,996327
453m,Jalan Besar Stadium,453,996327
461m,Soon Kee Boneless Lor Duck Rice,461,996327
510m,Malabar Mosque,510,996327
526m,Jalan Besar Swimming Complex,526,996327
571m,Thekchen Choling,571,996327
594m,1965 Craft Beer,594,996327
19.9km,Singapore Changi Airport,19910,79568182
21.4km,Woodlands Train Checkpoint,21360,79568182
520m,Jalan Besar MRT,520,79568182
620m,Farrer Park,620,79568182
540m,Lavender,540,79568182
51m,Jalan Besar Swimming Complex,51,79568182
93m,Soon Kee Boneless Lor Duck Rice,93,79568182
113m,Jalan Besar Stadium,113,79568182
185m,Putian Tiandao Church,185,79568182
261m,Thekchen Choling,261,79568182
315m,Airzone,315,79568182
333m,Petain Road,333,79568182
353m,UOB ATM - City Square Mall,353,79568182
390m,Wellaholic (Lavender Outlet),390,79568182
411m,Post-Museum,411,79568182
20.5km,Singapore Changi Airport,20550,4397252
24.8km,Woodlands Train Checkpoint,24840,4397252
300m,Bendemeer MRT,300,4397252
720m,Lavender,720,4397252
690m,Lavender,690,4397252
250m,Boulder+,250,4397252
270m,Thekchen Choling,270,4397252
286m,Wellaholic (Lavender Outlet),286,4397252
358m,Jalan Besar Stadium,358,4397252
408m,Jalan Besar Swimming Complex,408,4397252
409m,Soon Kee Boneless Lor Duck Rice,409,4397252
480m,Sushi Bee,480,4397252
510m,Sri Manmatha Karuneshvarar Temple,510,4397252
553m,Petain Road,553,4397252
625m,Putian Tiandao Church,625,4397252
19.6km,Singapore Changi Airport,19640,4065387
20.9km,Woodlands Train Checkpoint,20870,4065387
460m,Bendemeer MRT,460,4065387
910m,Lavender,910,4065387
680m,Lavender,680,4065387
161m,Thekchen Choling,161,4065387
301m,Jalan Besar Stadium,301,4065387
330m,Wellaholic (Lavender Outlet),330,4065387
334m,Jalan Besar Swimming Complex,334,4065387
346m,Boulder+,346,4065387
355m,Soon Kee Boneless Lor Duck Rice,355,4065387
439m,Petain Road,439,4065387
510m,Sushi Bee,510,4065387
532m,Sri Vadapathira Kaliamman Temple,532,4065387
548m,Airzone,548,4065387
20.5km,Singapore Changi Airport,20450,1620002
20.7km,Woodlands Train Checkpoint,20660,1620002
440m,Farrer Park,440,1620002
710m,Jalan Besar MRT,710,1620002
620m,Little India,620,1620002
262m,UOB ATM - City Square Mall,262,1620002
281m,Post-Museum,281,1620002
292m,Farrer Park,292,1620002
311m,Kampong Kapor Methodist Church,311,1620002
319m,Sri Veeramakaliamman Temple,319,1620002
323m,Airzone,323,1620002
370m,Lady Fair Beauty Centre,370,1620002
417m,Thaipusam Festival,417,1620002
420m,Amrita Ayurveda and Yoga,420,1620002
431m,Sri Srinivasa Perumal Temple,431,1620002
19.5km,Singapore Changi Airport,19550,932150
21.2km,Woodlands Train Checkpoint,21170,932150
220m,Bras Basah,220,932150
370m,Bencoolen MRT,370,932150
730m,Bugis,730,932150
41m,St Joseph's Church (Victoria Street),41,932150
88m,National Design Centre,88,932150
130m,National Library of Singapore,130,932150
179m,InterContinental Singapore Heritage Trail,179,932150
207m,Manekineko Bugis+,207,932150
213m,Rabbit Owl Depot,213,932150
217m,Filmgarde,217,932150
229m,Church of Saints Peter & Paul,229,932150
231m,The Private Museum,231,932150
241m,Mint Museum of Toys,241,932150
20.2km,Singapore Changi Airport,20250,962739
27.2km,Woodlands Train Checkpoint,27190,962739
580m,Promenade,580,962739
800m,Esplanade,800,962739
790m,Marina Bay,790,962739
141m,"The Ritz-Carlton Spa, Singapore",141,962739
142m,Chinese Heritage Museum,142,962739
202m,Chingay 2015,202,962739
222m,Kglow Skinlab,222,962739
255m,Millenia Walk Indoor Skiing Course,255,962739
261m,Kenko Reflexology and Fish Spa,261,962739
280m,F1 Pit Building,280,962739
292m,City Tourist Hub,292,962739
293m,Flight Experience Singapore,293,962739
294m,Singapore Flyer,294,962739
20.5km,Singapore Changi Airport,20510,10231080
21.7km,Woodlands Train Checkpoint,21670,10231080
60m,Bencoolen MRT,60,10231080
320m,Bras Basah,320,10231080
700m,Bugis,700,10231080
107m,The Theatre Practice,107,10231080
122m,SIA Hop-on,122,10231080
125m,Masjid Bencoolen,125,10231080
134m,Healthfit Massage Therapy,134,10231080
145m,The Private Museum,145,10231080
154m,Church of Saints Peter & Paul,154,10231080
163m,Maghain Aboth,163,10231080
204m,Sri Krishnan Temple,204,10231080
215m,Guanyin Hall in Sima Road,215,10231080
218m,St Joseph's Church (Victoria Street),218,10231080
22.5km,Singapore Changi Airport,22460,996304
21.2km,Woodlands Train Checkpoint,21250,996304
710m,Fort Canning MRT,710,996304
1.2km,Chinatown,1150,996304
380m,Singapore River,380,996304
510m,Robertson Quay,510,996304
101m,Culinaryon,101,996304
121m,Aegle TCM Clinique,121,996304
145m,Singapore Repertory Theatre,145,996304
172m,Robertson Quay,172,996304
180m,Singapore Hong San See,180,996304
181m,Theatreworks,181,996304
189m,Alkaff Bridge,189,996304
242m,Amped Trampoline Park,242,996304
337m,Chettiar Temple,337,996304
355m,Tan Si Chong Su Temple,355,996304
19.5km,Singapore Changi Airport,19540,23967152
27km,Woodlands Train Checkpoint,27040,23967152
480m,Bugis,480,23967152
520m,Esplanade,520,23967152
890m,Bugis,890,23967152
90m,Spa Club At Beach Road,90,23967152
96m,DrSpa,96,23967152
180m,Unravel,180,23967152
208m,Pine Spa,208,23967152
235m,GOURMETbus,235,23967152
235m,Dream Drive Pte Ltd,235,23967152
235m,Cool de Sac Play Centre,235,23967152
235m,Singapore Trolley,235,23967152
235m,Live Life Detour,235,23967152
235m,Calla Spa,235,23967152
21.6km,Singapore Changi Airport,21590,995072
29.4km,Woodlands Train Checkpoint,29380,995072
450m,Clarke Quay,450,995072
630m,Chinatown,630,995072
370m,Boat Quay,370,995072
1.7km,Singapore River,1710,995072
27m,Rabbar Entertainment,27,995072
39m,The Merry Lion Comedy Cafe And Bar,39,995072
105m,Elgin Bridge,105,995072
121m,Sabaai Sabaai Thai Massage,121,995072
159m,Singapore River,159,995072
167m,Shen Nong Spa,167,995072
169m,Singapore River Festival,169,995072
169m,Raffles' Landing Site,169,995072
179m,Urbane Nomads,179,995072
183m,Pulau Seking,183,995072
21.2km,Singapore Changi Airport,21250,1005152
29.5km,Woodlands Train Checkpoint,29520,1005152
450m,Clarke Quay,450,1005152
690m,Chinatown,690,1005152
290m,Boat Quay,290,1005152
1.9km,Singapore River,1870,1005152
54m,Rabbar Entertainment,54,1005152
80m,The Merry Lion Comedy Cafe And Bar,80,1005152
94m,Elgin Bridge,94,1005152
130m,Sabaai Sabaai Thai Massage,130,1005152
134m,Raffles' Landing Site,134,1005152
140m,Singapore River,140,1005152
156m,Urbane Nomads,156,1005152
158m,Parliament Of Singapore,158,1005152
160m,Pulau Seking,160,1005152
179m,The Arts House,179,1005152
22.9km,Singapore Changi Airport,22900,995074
19.4km,Woodlands Train Checkpoint,19390,995074
750m,Newton,750,995074
860m,Novena,860,995074
1.5km,Balestier,1530,995074
96m,Tribe,96,995074
118m,Healing Touch Spa,118,995074
273m,Need Massage,273,995074
285m,The Pamela Hat sculpture,285,995074
454m,Newton Life Church,454,995074
482m,Church of Saint Alphonsus,482,995074
788m,Police Heritage Centre,788,995074
818m,Sante Express Foot Spa,818,995074
1km,Imbiah Battery,1049,995074
1.1km,Zhong Yue Therapy Foot Refelxology & Health Products,1119,995074
20.4km,Singapore Changi Airport,20420,7301503
23.5km,Woodlands Train Checkpoint,23510,7301503
500m,Farrer Park,500,7301503
550m,Jalan Besar MRT,550,7301503
280m,Little India,280,7301503
170m,UOB ATM - City Square Mall,170,7301503
198m,Airzone,198,7301503
199m,Post-Museum,199,7301503
260m,Putian Tiandao Church,260,7301503
343m,Petain Road,343,7301503
348m,Jalan Besar Swimming Complex,348,7301503
385m,Sri Srinivasa Perumal Temple,385,7301503
391m,Soon Kee Boneless Lor Duck Rice,391,7301503
403m,Farrer Park,403,7301503
404m,Thaipusam Festival,404,7301503
23.5km,Singapore Changi Airport,23520,2064004
20.9km,Woodlands Train Checkpoint,20910,2064004
430m,Somerset,430,2064004
580m,Dhoby Ghaut,580,2064004
1.5km,Orchard Road,1460,2064004
230m,RN Spa,230,2064004
262m,Moshi Moshi Bollywood,262,2064004
277m,Focus Hairdressing,277,2064004
306m,Natureland Spa,306,2064004
314m,Mojo Massage Singapore,314,2064004
339m,New Creation Church,339,2064004
359m,Former House of Tan Yeok Nee,359,2064004
371m,Run With Me Singapore,371,2064004
372m,LaserOPS,372,2064004
398m,Absolute Slimming,398,2064004
23.3km,Singapore Changi Airport,23320,995017
20.7km,Woodlands Train Checkpoint,20720,995017
400m,Somerset,400,995017
450m,Dhoby Ghaut,450,995017
1.4km,Orchard Road,1430,995017
282m,Former House of Tan Yeok Nee,282,995017
288m,RN Spa,288,995017
301m,LaserOPS,301,995017
310m,Moshi Moshi Bollywood,310,995017
311m,Focus Hairdressing,311,995017
327m,Run With Me Singapore,327,995017
339m,Natureland Spa,339,995017
345m,Mojo Massage Singapore,345,995017
401m,New Creation Church,401,995017
416m,Absolute Slimming,416,995017
22.8km,Singapore Changi Airport,22770,91633420
29.2km,Woodlands Train Checkpoint,29180,91633420
330m,Dhoby Ghaut,330,91633420
690m,Fort Canning MRT,690,91633420
6km,Orchard Road,5990,91633420
187m,LaserOPS,187,91633420
218m,Orchard Road Presbyterian Church,218,91633420
225m,Former House of Tan Yeok Nee,225,91633420
238m,The Luxe Art Museum,238,91633420
240m,Freeing SG,240,91633420
251m,Fort Canning Sculpture Trail,251,91633420
261m,Battlebox Museum Singapore,261,91633420
275m,Chinois Spa,275,91633420
285m,Wesley Methodist Church,285,91633420
287m,Singapore Dance Theatre,287,91633420
21.9km,Singapore Changi Airport,21930,995027
18.6km,Woodlands Train Checkpoint,18590,995027
1.3km,Novena,1270,995027
1.4km,Toa Payoh,1420,995027
790m,Balestier,790,995027
89m,Thong Teck Sian Tong Lian Sin Sia,89,995027
366m,ZhongShan Park,366,995027
368m,Sun Yat Sen Nanyang Memorial Hall,368,995027
406m,Zhong Yue Therapy Foot Refelxology & Health Products,406,995027
417m,Burmese Buddhist Temple,417,995027
497m,Masjid Hajjah Rahimabi Kebun Limau,497,995027
568m,Toa Payoh Town Park,568,995027
590m,Police Heritage Centre,590,995027
665m,Kidz Amaze,665,995027
690m,Housing & Development Board,690,995027
21.6km,Singapore Changi Airport,21570,1115349
18.2km,Woodlands Train Checkpoint,18220,1115349
1km,Novena,1020,1115349
1.5km,Toa Payoh,1480,1115349
630m,Balestier,630,1115349
32m,ZhongShan Park,32,1115349
58m,Zhong Yue Therapy Foot Refelxology & Health Products,58,1115349
144m,Sun Yat Sen Nanyang Memorial Hall,144,1115349
166m,Burmese Buddhist Temple,166,1115349
286m,Thong Teck Sian Tong Lian Sin Sia,286,1115349
353m,Police Heritage Centre,353,1115349
434m,Toa Payoh Town Park,434,1115349
622m,Housing & Development Board,622,1115349
748m,Church of Saint Alphonsus,748,1115349
840m,Bubble Soccer Singapore,840,1115349
21.6km,Singapore Changi Airport,21650,996045
18.3km,Woodlands Train Checkpoint,18300,996045
1.3km,Novena,1270,996045
1.4km,Toa Payoh,1450,996045
880m,Balestier,880,996045
52m,Burmese Buddhist Temple,52,996045
65m,Sun Yat Sen Nanyang Memorial Hall,65,996045
88m,ZhongShan Park,88,996045
114m,Zhong Yue Therapy Foot Refelxology & Health Products,114,996045
324m,Toa Payoh Town Park,324,996045
367m,Thong Teck Sian Tong Lian Sin Sia,367,996045
444m,Police Heritage Centre,444,996045
518m,Housing & Development Board,518,996045
757m,Little Treats Shop,757,996045
780m,Bubble Soccer Singapore,780,996045
21km,Singapore Changi Airport,20970,1352993
19.4km,Woodlands Train Checkpoint,19390,1352993
1.4km,Novena,1380,1352993
1.4km,Toa Payoh,1400,1352993
780m,Balestier,780,1352993
180m,Thong Teck Sian Tong Lian Sin Sia,180,1352993
395m,Masjid Hajjah Rahimabi Kebun Limau,395,1352993
464m,Sun Yat Sen Nanyang Memorial Hall,464,1352993
469m,ZhongShan Park,469,1352993
509m,Zhong Yue Therapy Foot Refelxology & Health Products,509,1352993
513m,Burmese Buddhist Temple,513,1352993
595m,Kidz Amaze,595,1352993
638m,Toa Payoh Town Park,638,1352993
679m,Police Heritage Centre,679,1352993
740m,Housing & Development Board,740,1352993
21.9km,Singapore Changi Airport,21880,687532
19.1km,Woodlands Train Checkpoint,19060,687532
1.2km,Novena,1180,687532
1.6km,Toa Payoh,1630,687532
1km,Balestier,1000,687532
260m,Zhong Yue Therapy Foot Refelxology & Health Products,260,687532
301m,ZhongShan Park,301,687532
314m,Burmese Buddhist Temple,314,687532
348m,Sun Yat Sen Nanyang Memorial Hall,348,687532
385m,Police Heritage Centre,385,687532
508m,Toa Payoh Town Park,508,687532
526m,Bubble Soccer Singapore,526,687532
602m,Thong Teck Sian Tong Lian Sin Sia,602,687532
659m,Church of Saint Alphonsus,659,687532
699m,Housing & Development Board,699,687532
20.5km,Singapore Changi Airport,20540,687556
24.2km,Woodlands Train Checkpoint,24190,687556
1.6km,Boon Keng,1610,687556
1.6km,Novena,1620,687556
940m,Balestier,940,687556
260m,Masjid Hajjah Rahimabi Kebun Limau,260,687556
554m,Thong Teck Sian Tong Lian Sin Sia,554,687556
702m,Kidz Amaze,702,687556
818m,Lian Shan Shuang Lin Temple,818,687556
862m,ZhongShan Park,862,687556
881m,Sun Yat Sen Nanyang Memorial Hall,881,687556
893m,Zhong Yue Therapy Foot Refelxology & Health Products,893,687556
898m,Central Sikh Temple,898,687556
921m,Deepavali Celebrations,921,687556
930m,Burmese Buddhist Temple,930,687556
20.3km,Singapore Changi Airport,20300,687506
24km,Woodlands Train Checkpoint,23950,687506
1.4km,Novena,1450,687506
1.5km,Farrer Park,1480,687506
1.1km,Balestier,1080,687506
483m,Masjid Hajjah Rahimabi Kebun Limau,483,687506
679m,Deepavali Celebrations,679,687506
716m,Central Sikh Temple,716,687506
741m,Thong Teck Sian Tong Lian Sin Sia,741,687506
788m,The Golden Space,788,687506
799m,Leong San See Temple,799,687506
814m,Sri Vadapathira Kaliamman Temple,814,687506
820m,Sakya Muni Buddha Gaya Temple,820,687506
833m,Sante Express Foot Spa,833,687506
841m,Kinetics Climbing Gym,841,687506
19.9km,Singapore Changi Airport,19850,989485
21.1km,Woodlands Train Checkpoint,21090,989485
370m,Bendemeer MRT,370,989485
790m,Lavender,790,989485
770m,Lavender,770,989485
244m,Thekchen Choling,244,989485
334m,Boulder+,334,989485
362m,Wellaholic (Lavender Outlet),362,989485
383m,Jalan Besar Stadium,383,989485
420m,Jalan Besar Swimming Complex,420,989485
436m,Soon Kee Boneless Lor Duck Rice,436,989485
511m,Petain Road,511,989485
553m,Sushi Bee,553,989485
563m,Sri Vadapathira Kaliamman Temple,563,989485
591m,The Golden Space,591,989485
22.7km,Singapore Changi Airport,22740,4715430
21.3km,Woodlands Train Checkpoint,21330,4715430
1km,Fort Canning MRT,1000,4715430
1.3km,Clarke Quay,1320,4715430
50m,Robertson Quay,50,4715430
90m,Singapore River,90,4715430
122m,Theatreworks,122,4715430
219m,Robertson Quay,219,4715430
221m,Alkaff Bridge,221,4715430
240m,Amped Trampoline Park,240,4715430
378m,Culinaryon,378,4715430
404m,Singapore Hong San See,404,4715430
409m,The Singapore Buddhist Lodge,409,4715430
411m,Aegle TCM Clinique,411,4715430
430m,Singapore Repertory Theatre,430,4715430
433m,Kim Seng Park,433,4715430
22.5km,Singapore Changi Airport,22490,909901
